"Target","Class","Type","Package","InstalledVersion","Advisory","Severity","FixedVersion","VendorStatus","AffectsCandidate","Disposition","Rationale"
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","zlib1g","1:1.2.13.dfsg-1","CVE-2023-45853","CRITICAL",,"will_not_fix","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsqlite3-0","3.40.1-2+deb12u2","CVE-2025-7458","CRITICAL",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-13221","CRITICAL",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-42496","CRITICAL",,"fix_deferred","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-57433","CRITICAL",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-8376","CRITICAL",,"affected","NO","NOT APPLICABLE","Advisory is specific to 32-bit builds; the release candidate is linux/amd64."
"Python","lang-pkgs","python-pkg","setuptools","70.3.0","CVE-2025-47273","HIGH","78.1.1","fixed","NO","NOT APPLICABLE","Trivy sourced this package from BuildKit third-party SBOM metadata; direct filesystem verification found no setuptools installation or importable module in the final image."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libncursesw6","6.4-4","CVE-2025-69720","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libtinfo6","6.4-4","CVE-2025-69720","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","ncurses-base","6.4-4","CVE-2025-69720","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","ncurses-bin","6.4-4","CVE-2025-69720","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libssl3","3.0.20-1~deb12u2","CVE-2026-14456","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","openssl","3.0.20-1~deb12u2","CVE-2026-14456","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","gzip","1.12-1","CVE-2026-41992","HIGH",,"fix_deferred","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-42497","HIGH",,"fix_deferred","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-48962","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","bsdutils","1:2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libblkid1","2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libmount1","2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsmartcols1","2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
